"","id.x","name","pbw_cs","pbw_choice","pbw_choicenumeric","sweight","seq","task","sample","ocean_days","seafood_eat","demoone_gender","demoone_education","demotwo_livedCanada","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","distance_FSA","distance_FSAc","rec","jobs","jobs2","demothree_age_num"
"38",99910612,"English10612",6,"NonFoodProducts",3,-1,2,9,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"40",99910612,"English10612",5,"AboriginalNeeds",2,-1,2,10,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"42",99910613,"English10613",8,"NonFoodProducts",3,-1,2,1,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"44",99910613,"English10613",2,"AboriginalNeeds",2,-1,2,2,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"46",99910613,"English10613",6,"AboriginalNeeds",2,-1,2,3,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"48",99910613,"English10613",9,"AboriginalNeeds",2,-1,2,4,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"50",99910613,"English10613",4,"AboriginalNeeds",2,-1,2,5,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"52",99910613,"English10613",5,"AboriginalNeeds",2,-1,2,6,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"54",99910613,"English10613",10,"TourismandRecreation",7,-1,2,7,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"56",99910613,"English10613",3,"NonFoodProducts",3,-1,2,8,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"58",99910613,"English10613",7,"TourismandRecreation",7,-1,2,9,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"60",99910613,"English10613",1,"NonFoodProducts",3,-1,2,10,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"62",99910615,"English10615",7,"TourismandRecreation",7,-1,2,1,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"64",99910615,"English10615",9,"TourismandRecreation",7,-1,2,2,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"66",99910615,"English10615",3,"NonFoodProducts",3,-1,2,3,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"68",99910615,"English10615",5,"AboriginalNeeds",2,-1,2,4,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"70",99910615,"English10615",10,"TourismandRecreation",7,-1,2,5,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"72",99910615,"English10615",4,"AboriginalNeeds",2,-1,2,6,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"74",99910615,"English10615",6,"TourismandRecreation",7,-1,2,7,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"76",99910615,"English10615",1,"TourismandRecreation",7,-1,2,8,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"78",99910615,"English10615",8,"NonFoodProducts",3,-1,2,9,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"80",99910615,"English10615",2,"AboriginalNeeds",2,-1,2,10,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"82",99910616,"English10616",5,"AboriginalNeeds",2,-1,2,1,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"84",99910616,"English10616",8,"NonFoodProducts",3,-1,2,2,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"86",99910616,"English10616",9,"AboriginalNeeds",2,-1,2,3,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"88",99910616,"English10616",7,"TourismandRecreation",7,-1,2,4,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"90",99910616,"English10616",2,"AboriginalNeeds",2,-1,2,5,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"92",99910616,"English10616",4,"AboriginalNeeds",2,-1,2,6,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"94",99910616,"English10616",1,"NonFoodProducts",3,-1,2,7,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"96",99910616,"English10616",10,"TourismandRecreation",7,-1,2,8,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"98",99910616,"English10616",3,"NonFoodProducts",3,-1,2,9,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"100",99910616,"English10616",6,"AboriginalNeeds",2,-1,2,10,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"102",99910617,"English10617",4,"CoastalProtection",5,-1,2,1,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"104",99910617,"English10617",10,"Biodiversity",10,-1,2,2,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"106",99910617,"English10617",9,"CleanWaters",9,-1,2,3,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"108",99910617,"English10617",7,"CleanWaters",9,-1,2,4,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"110",99910617,"English10617",8,"CleanWaters",9,-1,2,5,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"112",99910617,"English10617",3,"Biodiversity",10,-1,2,6,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"114",99910617,"English10617",1,"Biodiversity",10,-1,2,7,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"116",99910617,"English10617",2,"CleanWaters",9,-1,2,8,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"118",99910617,"English10617",5,"CleanWaters",9,-1,2,9,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"120",99910617,"English10617",6,"CoastalLivelihoods",6,-1,2,10,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"122",99910618,"English10618",3,"NonFoodProducts",3,-1,2,1,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"124",99910618,"English10618",1,"NonFoodProducts",3,-1,2,2,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"126",99910618,"English10618",5,"AboriginalNeeds",2,-1,2,3,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"128",99910618,"English10618",4,"Foodprovision",1,-1,2,4,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"130",99910618,"English10618",6,"NonFoodProducts",3,-1,2,5,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"132",99910618,"English10618",2,"AboriginalNeeds",2,-1,2,6,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"134",99910618,"English10618",10,"TourismandRecreation",7,-1,2,7,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"136",99910618,"English10618",7,"TourismandRecreation",7,-1,2,8,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"138",99910618,"English10618",9,"NonFoodProducts",3,-1,2,9,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"140",99910618,"English10618",8,"Foodprovision",1,-1,2,10,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"142",99910619,"English10619",4,"AboriginalNeeds",2,-1,2,1,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"144",99910619,"English10619",9,"AboriginalNeeds",2,-1,2,2,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"146",99910619,"English10619",2,"AboriginalNeeds",2,-1,2,3,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"148",99910619,"English10619",5,"AboriginalNeeds",2,-1,2,4,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"150",99910619,"English10619",1,"Foodprovision",1,-1,2,5,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"152",99910619,"English10619",8,"Foodprovision",1,-1,2,6,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"154",99910619,"English10619",7,"TourismandRecreation",7,-1,2,7,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"156",99910619,"English10619",10,"CarbonStorage",4,-1,2,8,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"158",99910619,"English10619",3,"CarbonStorage",4,-1,2,9,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"160",99910619,"English10619",6,"AboriginalNeeds",2,-1,2,10,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"162",99910620,"English10620",9,"NonFoodProducts",3,-1,2,1,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"164",99910620,"English10620",5,"Biodiversity",10,-1,2,2,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"166",99910620,"English10620",6,"NonFoodProducts",3,-1,2,3,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"168",99910620,"English10620",10,"CarbonStorage",4,-1,2,4,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"170",99910620,"English10620",2,"Biodiversity",10,-1,2,5,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"172",99910620,"English10620",3,"NonFoodProducts",3,-1,2,6,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"174",99910620,"English10620",1,"TourismandRecreation",7,-1,2,7,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"176",99910620,"English10620",4,"CarbonStorage",4,-1,2,8,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"178",99910620,"English10620",8,"NonFoodProducts",3,-1,2,9,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"180",99910620,"English10620",7,"CarbonStorage",4,-1,2,10,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"182",99910621,"English10621",6,"IconicPlacesandSpecies",8,-1,2,1,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"184",99910621,"English10621",4,"CarbonStorage",4,-1,2,2,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"186",99910621,"English10621",8,"IconicPlacesandSpecies",8,-1,2,3,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"188",99910621,"English10621",7,"IconicPlacesandSpecies",8,-1,2,4,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"190",99910621,"English10621",9,"CarbonStorage",4,-1,2,5,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"192",99910621,"English10621",5,"Biodiversity",10,-1,2,6,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"194",99910621,"English10621",3,"IconicPlacesandSpecies",8,-1,2,7,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"196",99910621,"English10621",10,"Biodiversity",10,-1,2,8,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"198",99910621,"English10621",2,"Biodiversity",10,-1,2,9,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"200",99910621,"English10621",1,"Biodiversity",10,-1,2,10,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"202",99910622,"English10622",6,"NonFoodProducts",3,-1,2,1,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"204",99910622,"English10622",10,"TourismandRecreation",7,-1,2,2,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"206",99910622,"English10622",1,"NonFoodProducts",3,-1,2,3,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"208",99910622,"English10622",3,"NonFoodProducts",3,-1,2,4,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"210",99910622,"English10622",4,"AboriginalNeeds",2,-1,2,5,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"212",99910622,"English10622",9,"NonFoodProducts",3,-1,2,6,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"214",99910622,"English10622",2,"IconicPlacesandSpecies",8,-1,2,7,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"216",99910622,"English10622",8,"NonFoodProducts",3,-1,2,8,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"218",99910622,"English10622",5,"AboriginalNeeds",2,-1,2,9,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"220",99910622,"English10622",7,"IconicPlacesandSpecies",8,-1,2,10,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"222",99910623,"English10623",8,"IconicPlacesandSpecies",8,-1,2,1,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"224",99910623,"English10623",7,"IconicPlacesandSpecies",8,-1,2,2,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"226",99910623,"English10623",2,"AboriginalNeeds",2,-1,2,3,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"228",99910623,"English10623",5,"AboriginalNeeds",2,-1,2,4,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"230",99910623,"English10623",6,"NonFoodProducts",3,-1,2,5,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"232",99910623,"English10623",3,"NonFoodProducts",3,-1,2,6,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"234",99910623,"English10623",9,"AboriginalNeeds",2,-1,2,7,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"236",99910623,"English10623",10,"CarbonStorage",4,-1,2,8,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"238",99910623,"English10623",4,"AboriginalNeeds",2,-1,2,9,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"240",99910623,"English10623",1,"NonFoodProducts",3,-1,2,10,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"242",99910624,"English10624",9,"AboriginalNeeds",2,-1,2,1,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"244",99910624,"English10624",6,"AboriginalNeeds",2,-1,2,2,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"246",99910624,"English10624",1,"NonFoodProducts",3,-1,2,3,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"248",99910624,"English10624",5,"AboriginalNeeds",2,-1,2,4,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"250",99910624,"English10624",7,"CarbonStorage",4,-1,2,5,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"252",99910624,"English10624",8,"NonFoodProducts",3,-1,2,6,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"254",99910624,"English10624",4,"AboriginalNeeds",2,-1,2,7,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"256",99910624,"English10624",10,"CarbonStorage",4,-1,2,8,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"258",99910624,"English10624",3,"NonFoodProducts",3,-1,2,9,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"260",99910624,"English10624",2,"AboriginalNeeds",2,-1,2,10,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"262",99910625,"English10625",6,"AboriginalNeeds",2,-1,2,1,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"264",99910625,"English10625",4,"AboriginalNeeds",2,-1,2,2,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"266",99910625,"English10625",10,"TourismandRecreation",7,-1,2,3,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"268",99910625,"English10625",9,"AboriginalNeeds",2,-1,2,4,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"270",99910625,"English10625",5,"AboriginalNeeds",2,-1,2,5,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"272",99910625,"English10625",2,"AboriginalNeeds",2,-1,2,6,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"274",99910625,"English10625",8,"NonFoodProducts",3,-1,2,7,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"276",99910625,"English10625",3,"NonFoodProducts",3,-1,2,8,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"278",99910625,"English10625",7,"TourismandRecreation",7,-1,2,9,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"280",99910625,"English10625",1,"NonFoodProducts",3,-1,2,10,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"282",99910626,"English10626",7,"TourismandRecreation",7,-1,2,1,"PR","none",18,"female","somepost","morethan20","no","no","green",7,6,"25to34",776479.498211149,">1000km",1,"none","none",29.5
"284",99910626,"English10626",10,"TourismandRecreation",7,-1,2,2,"PR","none",18,"female","somepost","morethan20","no","no","green",7,6,"25to34",776479.498211149,">1000km",1,"none","none",29.5
