"","id.x","name","pbw_cs","pbw_choice","pbw_choicenumeric","sweight","seq","task","sample","ocean_days","seafood_eat","demoone_gender","demoone_education","demotwo_livedCanada","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","distance_FSA","distance_FSAc","rec","jobs","jobs2","demothree_age_num"
"21",99910612,"English10612",1,"CoastalProtection",5,1,1,1,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"23",99910612,"English10612",8,"CleanWaters",9,1,1,2,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"25",99910612,"English10612",9,"CleanWaters",9,1,1,3,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"27",99910612,"English10612",4,"CoastalLivelihoods",6,1,1,4,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"29",99910612,"English10612",2,"CleanWaters",9,1,1,5,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"31",99910612,"English10612",10,"CoastalLivelihoods",6,1,1,6,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"33",99910612,"English10612",3,"CoastalProtection",5,1,1,7,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"35",99910612,"English10612",7,"CleanWaters",9,1,1,8,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"37",99910612,"English10612",6,"CoastalLivelihoods",6,1,1,9,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"39",99910612,"English10612",5,"CleanWaters",9,1,1,10,"PR","none",36,"male","bachelors","morethan20","no","no","dontknow",5,6,"55to64",826565.907047568,">1000km",3,"none","none",59.5
"41",99910613,"English10613",8,"CleanWaters",9,1,1,1,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"43",99910613,"English10613",2,"CleanWaters",9,1,1,2,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"45",99910613,"English10613",6,"CoastalLivelihoods",6,1,1,3,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"47",99910613,"English10613",9,"CarbonStorage",4,1,1,4,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"49",99910613,"English10613",4,"Foodprovision",1,1,1,5,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"51",99910613,"English10613",5,"CleanWaters",9,1,1,6,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"53",99910613,"English10613",10,"Biodiversity",10,1,1,7,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"55",99910613,"English10613",3,"CarbonStorage",4,1,1,8,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"57",99910613,"English10613",7,"CarbonStorage",4,1,1,9,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"59",99910613,"English10613",1,"Biodiversity",10,1,1,10,"BC","30to49",52,"male","bachelors","morethan20","no","yes","liberal",7,5,"55to64",4791.752320531,"<100km",2,"aquaculture","extract",59.5
"61",99910615,"English10615",7,"CleanWaters",9,1,1,1,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"63",99910615,"English10615",9,"CleanWaters",9,1,1,2,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"65",99910615,"English10615",3,"CoastalProtection",5,1,1,3,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"67",99910615,"English10615",5,"CleanWaters",9,1,1,4,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"69",99910615,"English10615",10,"CarbonStorage",4,1,1,5,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"71",99910615,"English10615",4,"CoastalProtection",5,1,1,6,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"73",99910615,"English10615",6,"IconicPlacesandSpecies",8,1,1,7,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"75",99910615,"English10615",1,"CoastalProtection",5,1,1,8,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"77",99910615,"English10615",8,"CleanWaters",9,1,1,9,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"79",99910615,"English10615",2,"CleanWaters",9,1,1,10,"BC","50to100",36,"male","bachelors","morethan20","yes","yes","dontknow",9,3,"65plus",3395.53386691379,"<100km",3,"none","none",69.5
"81",99910616,"English10616",5,"CoastalProtection",5,1,1,1,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"83",99910616,"English10616",8,"Foodprovision",1,1,1,2,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"85",99910616,"English10616",9,"CleanWaters",9,1,1,3,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"87",99910616,"English10616",7,"CleanWaters",9,1,1,4,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"89",99910616,"English10616",2,"CleanWaters",9,1,1,5,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"91",99910616,"English10616",4,"Foodprovision",1,1,1,6,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"93",99910616,"English10616",1,"Foodprovision",1,1,1,7,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"95",99910616,"English10616",10,"Foodprovision",1,1,1,8,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"97",99910616,"English10616",3,"CoastalProtection",5,1,1,9,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"99",99910616,"English10616",6,"CoastalLivelihoods",6,1,1,10,"BC","lessthan5",18,"male","graduate","morethan20","no","no","CPC",9,7,"35to44",6646.98382834008,"<100km",4,"none","none",39.5
"101",99910617,"English10617",4,"CarbonStorage",4,1,1,1,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"103",99910617,"English10617",10,"CarbonStorage",4,1,1,2,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"105",99910617,"English10617",9,"NonFoodProducts",3,1,1,3,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"107",99910617,"English10617",7,"TourismandRecreation",7,1,1,4,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"109",99910617,"English10617",8,"NonFoodProducts",3,1,1,5,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"111",99910617,"English10617",3,"NonFoodProducts",3,1,1,6,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"113",99910617,"English10617",1,"NonFoodProducts",3,1,1,7,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"115",99910617,"English10617",2,"AboriginalNeeds",2,1,1,8,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"117",99910617,"English10617",5,"AboriginalNeeds",2,1,1,9,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"119",99910617,"English10617",6,"NonFoodProducts",3,1,1,10,"BC","30to49",18,"male","HS","morethan20","","no","CPC",4,5,"55to64",3157.23824346658,"<100km",2,"none","none",59.5
"121",99910618,"English10618",3,"CoastalProtection",5,1,1,1,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"123",99910618,"English10618",1,"CoastalProtection",5,1,1,2,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"125",99910618,"English10618",5,"CoastalProtection",5,1,1,3,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"127",99910618,"English10618",4,"CoastalProtection",5,1,1,4,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"129",99910618,"English10618",6,"CoastalLivelihoods",6,1,1,5,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"131",99910618,"English10618",2,"Biodiversity",10,1,1,6,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"133",99910618,"English10618",10,"CarbonStorage",4,1,1,7,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"135",99910618,"English10618",7,"CoastalProtection",5,1,1,8,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"137",99910618,"English10618",9,"CleanWaters",9,1,1,9,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"139",99910618,"English10618",8,"CleanWaters",9,1,1,10,"BC","30to49",52,"female","graduate","morethan20","yes","yes","green",3,3,"65plus",0,"<100km",2,"none","none",69.5
"141",99910619,"English10619",4,"CoastalProtection",5,1,1,1,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"143",99910619,"English10619",9,"CleanWaters",9,1,1,2,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"145",99910619,"English10619",2,"IconicPlacesandSpecies",8,1,1,3,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"147",99910619,"English10619",5,"CoastalProtection",5,1,1,4,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"149",99910619,"English10619",1,"CoastalProtection",5,1,1,5,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"151",99910619,"English10619",8,"NonFoodProducts",3,1,1,6,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"153",99910619,"English10619",7,"CoastalProtection",5,1,1,7,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"155",99910619,"English10619",10,"TourismandRecreation",7,1,1,8,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"157",99910619,"English10619",3,"CoastalProtection",5,1,1,9,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"159",99910619,"English10619",6,"IconicPlacesandSpecies",8,1,1,10,"BC","morethan100",0,"male","HS","morethan20","no","no","CPC",4,5,"65plus",1373.87455608078,"<100km",1,"none","none",69.5
"161",99910620,"English10620",9,"CleanWaters",9,1,1,1,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"163",99910620,"English10620",5,"CleanWaters",9,1,1,2,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"165",99910620,"English10620",6,"CoastalLivelihoods",6,1,1,3,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"167",99910620,"English10620",10,"Foodprovision",1,1,1,4,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"169",99910620,"English10620",2,"CleanWaters",9,1,1,5,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"171",99910620,"English10620",3,"IconicPlacesandSpecies",8,1,1,6,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"173",99910620,"English10620",1,"Foodprovision",1,1,1,7,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"175",99910620,"English10620",4,"Foodprovision",1,1,1,8,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"177",99910620,"English10620",8,"CleanWaters",9,1,1,9,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"179",99910620,"English10620",7,"IconicPlacesandSpecies",8,1,1,10,"ON","5to9",52,"male","bachelors","morethan20","no","no","green",7,6,"45to54",730299.569912386,">1000km",4,"tourism","conservation",49.5
"181",99910621,"English10621",6,"CoastalLivelihoods",6,1,1,1,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"183",99910621,"English10621",4,"CoastalLivelihoods",6,1,1,2,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"185",99910621,"English10621",8,"CleanWaters",9,1,1,3,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"187",99910621,"English10621",7,"CoastalProtection",5,1,1,4,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"189",99910621,"English10621",9,"TourismandRecreation",7,1,1,5,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"191",99910621,"English10621",5,"CoastalProtection",5,1,1,6,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"193",99910621,"English10621",3,"CoastalProtection",5,1,1,7,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"195",99910621,"English10621",10,"TourismandRecreation",7,1,1,8,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"197",99910621,"English10621",2,"Foodprovision",1,1,1,9,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"199",99910621,"English10621",1,"TourismandRecreation",7,1,1,10,"BC","none",4.5,"male","elementary","morethan20","no","no","liberal",3,5,"65plus",240893.093232643,"<500km",1,"none","none",69.5
"201",99910622,"English10622",6,"CoastalLivelihoods",6,1,1,1,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"203",99910622,"English10622",10,"Foodprovision",1,1,1,2,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"205",99910622,"English10622",1,"Foodprovision",1,1,1,3,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"207",99910622,"English10622",3,"Biodiversity",10,1,1,4,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"209",99910622,"English10622",4,"Foodprovision",1,1,1,5,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"211",99910622,"English10622",9,"CleanWaters",9,1,1,6,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"213",99910622,"English10622",2,"CleanWaters",9,1,1,7,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"215",99910622,"English10622",8,"Foodprovision",1,1,1,8,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"217",99910622,"English10622",5,"CleanWaters",9,1,1,9,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"219",99910622,"English10622",7,"CleanWaters",9,1,1,10,"ON","lessthan5",52,"female","bachelors","11to20","no","no","green",6,6,"45to54",437590.04639182,"<500km",1,"none","none",49.5
"221",99910623,"English10623",8,"CoastalLivelihoods",6,1,1,1,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"223",99910623,"English10623",7,"CoastalProtection",5,1,1,2,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"225",99910623,"English10623",2,"Foodprovision",1,1,1,3,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"227",99910623,"English10623",5,"CoastalLivelihoods",6,1,1,4,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"229",99910623,"English10623",6,"CoastalLivelihoods",6,1,1,5,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"231",99910623,"English10623",3,"CoastalProtection",5,1,1,6,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"233",99910623,"English10623",9,"CleanWaters",9,1,1,7,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"235",99910623,"English10623",10,"CoastalLivelihoods",6,1,1,8,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"237",99910623,"English10623",4,"CoastalLivelihoods",6,1,1,9,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"239",99910623,"English10623",1,"Foodprovision",1,1,1,10,"PR","none",18,"female","bachelors","morethan20","no","yes","liberal",4,3,"55to64",824331.869531745,">1000km",1,"none","none",59.5
"241",99910624,"English10624",9,"CleanWaters",9,1,1,1,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"243",99910624,"English10624",6,"CoastalLivelihoods",6,1,1,2,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"245",99910624,"English10624",1,"CoastalProtection",5,1,1,3,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"247",99910624,"English10624",5,"CoastalLivelihoods",6,1,1,4,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"249",99910624,"English10624",7,"CleanWaters",9,1,1,5,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"251",99910624,"English10624",8,"CoastalLivelihoods",6,1,1,6,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"253",99910624,"English10624",4,"CoastalLivelihoods",6,1,1,7,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"255",99910624,"English10624",10,"TourismandRecreation",7,1,1,8,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"257",99910624,"English10624",3,"CoastalProtection",5,1,1,9,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"259",99910624,"English10624",2,"CleanWaters",9,1,1,10,"PR","none",52,"male","bachelors","morethan20","no","yes","NDP",6,5,"55to64",816175.517774241,">1000km",3,"none","none",59.5
"261",99910625,"English10625",6,"CoastalLivelihoods",6,1,1,1,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"263",99910625,"English10625",4,"Foodprovision",1,1,1,2,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"265",99910625,"English10625",10,"CoastalLivelihoods",6,1,1,3,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"267",99910625,"English10625",9,"CleanWaters",9,1,1,4,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"269",99910625,"English10625",5,"CleanWaters",9,1,1,5,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"271",99910625,"English10625",2,"IconicPlacesandSpecies",8,1,1,6,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"273",99910625,"English10625",8,"CleanWaters",9,1,1,7,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"275",99910625,"English10625",3,"CoastalProtection",5,1,1,8,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"277",99910625,"English10625",7,"CleanWaters",9,1,1,9,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"279",99910625,"English10625",1,"Biodiversity",10,1,1,10,"PR","50to100",36,"female","bachelors","morethan20","no","no","CPC",4,3,"55to64",650192.612020029,">1000km",4,"none","none",59.5
"281",99910626,"English10626",7,"CleanWaters",9,1,1,1,"PR","none",18,"female","somepost","morethan20","no","no","green",7,6,"25to34",776479.498211149,">1000km",1,"none","none",29.5
"283",99910626,"English10626",10,"CarbonStorage",4,1,1,2,"PR","none",18,"female","somepost","morethan20","no","no","green",7,6,"25to34",776479.498211149,">1000km",1,"none","none",29.5
"285",99910626,"English10626",1,"CoastalProtection",5,1,1,3,"PR","none",18,"female","somepost","morethan20","no","no","green",7,6,"25to34",776479.498211149,">1000km",1,"none","none",29.5
"287",99910626,"English10626",5,"CleanWaters",9,1,1,4,"PR","none",18,"female","somepost","morethan20","no","no","green",7,6,"25to34",776479.498211149,">1000km",1,"none","none",29.5
