"","sample","subsid","pid","name","id","completed","user_last_section","ip","date","time_in","time_out","user_browser","user_setid_dce1","user_language","user_combo","IMP_Order","DCE_pg1","DCE_least1","DCE_most1","DCE_pg2","DCE_least2","DCE_most2","DCE_pg3","DCE_least3","DCE_most3","DCE_pg4","DCE_least4","DCE_most4","DCE_pg5","DCE_least5","DCE_most5","DCE_pg6","DCE_least6","DCE_most6","DCE_pg7","DCE_least7","DCE_most7","DCE_pg8","DCE_least8","DCE_most8","DCE_pg9","DCE_least9","DCE_most9","DCE_pg10","DCE_least10","DCE_most10","DCEclick_1","DCEclick_2","DCEclick_3","DCEclick_4","DCEclick_5","DCEclick_6","DCEclick_7","DCEclick_8","DCEclick_9","DCEclick_10","ocean_days","rec_swim","rec_boat","rec_surf","rec_scuba","rec_powerboat","rec_recfish","rec_sightsee","rec_none","rec_other","rec_specify","jobs_comfish","jobs_aquaculture","jobs_firstnations","jobs_tourism","jobs_transport","jobs_port","jobs_govt","jobs_none","jobs_other","jobs_specify","seafood_eat","foodprovision_general","foodprovision_xx","aboriginalneeds_general","aboriginalneeds_xx","nonfood_general","nonfood_xx","carbonstorage_general","carbonstorage_xx","coastalprotection_general","coastalprotection_xx","coastallivelihood_general","coastallivelihood_xx","tourismrec_general","tourismrec_xx","icons_general","icons_xx","cleanwater_general","cleanwater_xx","biodiversity_general","biodiversity_xx","demoone_gender","demoone_education","demotwo_livedCanada","demotwo_fsa","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","comments"
"20","BC","410306401",NA,"English10628",10628,"y","hco_thankyou.php",NA,"04/03/2014","23:14:02","23:23:10","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",20,12345,5,2,9,1,3,1,10,4,1,8,3,9,7,4,9,4,4,1,9,4,9,6,3,7,2,2,9,3,3,10,"","","","","","","","","","","5to9",1,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,4,NA,4,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","v3e","no","no","liberal",7,"4","55to64",""
"21","BC","410339968",NA,"English10629",10629,"y","hco_thankyou.php",NA,"04/03/2014","23:14:56","23:34:57","Mozilla/5.0 (Linux; Android 4.1.2; SM-T210R Build/JZO54K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.136 Safari/537.36",NA,"English",21,54321,1,7,1,9,7,9,2,8,9,4,4,1,8,8,9,6,3,2,5,5,9,10,7,10,7,7,9,3,3,10,"","","","","","","","","","","morethan100",NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","Never",4,NA,3,NA,3,NA,3,NA,4,NA,4,NA,4,NA,4,NA,5,NA,4,NA,"male","bachelors","6to10","v3w","no","no","CPC",3,"","55to64","We should keep our oceans natural."
"22","BC","410342771",NA,"English10630",10630,"y","hco_thankyou.php",NA,"04/03/2014","23:15:27","23:24:29","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",22,12345,1,3,10,10,7,4,9,2,9,3,3,10,2,2,10,7,7,9,6,2,6,8,3,1,4,2,5,5,2,10,"","","","","","","","","","","50to100",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,1,NA,NA,NA,"","atleast1wk",5,NA,1,NA,3,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","HS","morethan20","V9X","no","no","noparty",4,"2","65plus","very good"
"23","BC","410013077",NA,"English10631",10631,"y","hco_thankyou.php",NA,"04/03/2014","23:15:30","23:28:46","Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko",NA,"English",23,54321,9,2,9,8,3,9,5,2,9,3,3,5,4,2,5,1,3,5,10,7,6,7,7,9,2,2,9,6,2,6,"","","","","","","","","","","30to49",1,1,1,1,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",4,NA,3,NA,4,NA,4,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"female","somepost","morethan20","v5h","no","no","dontknow",3,"2","55to64",""
"24","BC","410338158",NA,"English10632",10632,"y","hco_thankyou.php",NA,"04/03/2014","23:16:17","23:24:47","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)",NA,"English",24,12345,10,4,10,8,3,9,4,2,5,3,3,10,9,3,9,6,3,6,1,3,5,2,1,9,7,4,9,5,2,9,"","","","checked","","","","","","checked","lessthan5",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,2,NA,2,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"female","somepost","morethan20","v2x","no","no","NDP",6,"2","55to64","the survey was interesting, thank you"
"27","BC","410055330",NA,"English10635",10635,"y","hco_thankyou.php",NA,"04/03/2014","23:20:49","23:27:28","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.5; .NET CLR 1.1.4322; InfoPath.1; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; McAfee)",NA,"English",27,54321,6,2,6,2,2,1,3,3,10,7,7,9,8,3,9,1,7,1,9,2,9,5,2,6,10,7,1,4,2,1,"","","","","","","","","","","morethan100",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,4,NA,5,NA,4,NA,5,NA,3,NA,5,NA,5,NA,5,NA,"female","HS","morethan20","V8L","no","no","CPC",1,"1","65plus",""
"28","BC","410088007",NA,"English10636",10636,"y","hco_thankyou.php",NA,"04/03/2014","23:21:00","23:27:12","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",NA,"English",28,12345,3,3,5,1,3,1,5,2,6,4,2,1,6,3,6,2,2,1,10,4,1,9,3,9,7,4,5,8,3,1,"","","","","","","","","","","30to49",1,1,NA,NA,NA,NA,NA,NA,1,"ferry rides",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,3,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","v5v","yes","no","NDP",7,"2","45to54",""
"30","BC","410327578",NA,"English10638",10638,"y","hco_thankyou.php",NA,"04/03/2014","23:22:46","23:40:11","Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",30,12345,5,2,9,1,3,1,4,2,4,3,3,4,7,7,9,8,3,9,6,3,8,2,2,9,9,3,9,10,7,4,"","","","","","","","","","","50to100",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,4,NA,4,NA,5,NA,4,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"male","somepost","morethan20","V0E","no","no","dontknow",4,"2","65plus","None at this time."
"32","MR","410180811",NA,"English10639",10639,"y","hco_thankyou.php",NA,"04/03/2014","23:22:56","23:32:00","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",31,54321,6,2,6,7,8,9,2,2,1,4,2,1,8,8,9,1,3,1,5,2,9,10,10,1,3,8,5,9,3,9,"","","","","","","","","","","morethan100",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,4,NA,4,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,"female","college","morethan20","A0B","no","no","noresponse",5,"2","45to54",""
"34","PR","410301389",NA,"English10642",10642,"y","hco_thankyou.php",NA,"04/03/2014","23:24:55","23:35:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",NA,"English",34,12345,2,2,9,3,8,4,5,2,9,1,5,1,4,2,1,9,2,9,6,2,3,8,8,9,7,8,9,10,7,1,"","","","checked","","","","","checked","checked","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,3,NA,5,NA,5,NA,5,NA,5,NA,3,NA,3,NA,5,NA,5,NA,"male","graduate","morethan20","R2V","","no","dontknow",6,"2","45to54",""
"35","ON","410321985",NA,"English10643",10643,"y","hco_thankyou.php",NA,"04/03/2014","23:25:25","23:32:13","Mozilla/5.0 (Windows NT 6.0; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",35,54321,6,2,8,1,7,10,4,2,4,7,7,9,5,2,9,3,3,10,10,7,10,9,2,9,2,2,9,8,3,9,"","","","","","","","","","","10to29",1,1,NA,NA,1,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,4,NA,5,NA,5,NA,4,NA,4,NA,3,NA,5,NA,5,NA,5,NA,"male","graduate","morethan20","N5X","no","no","green",6,"2","25to34",""
"36","BC","410333375",NA,"English10644",10644,"y","hco_thankyou.php",NA,"04/03/2014","23:26:22","23:44:59","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",36,12345,1,7,1,7,7,9,8,3,9,2,2,9,4,2,1,10,7,1,9,2,9,6,2,6,3,3,5,5,2,9,"","","","","","","","","","","lessthan5",1,NA,1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,3,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA,5,NA,4,NA,"male","HS","morethan20","v3a","no","no","CPC",5,"6","45to54",""
"37","PR","410299828",NA,"English10645",10645,"y","hco_thankyou.php",NA,"04/03/2014","23:26:36","23:36:00","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; McAfee; .NET4.0E)",NA,"English",37,54321,2,2,9,1,3,1,9,2,9,3,3,4,4,2,6,10,7,6,8,3,8,5,2,9,7,7,5,6,2,6,"","","","","","","","","","","none",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",3,NA,2,NA,3,NA,4,NA,4,NA,4,NA,3,NA,3,NA,3,NA,3,NA,"female","college","morethan20","R2M","no","yes","liberal",5,"2","45to54",""
"39","BC","410078598",NA,"English10647",10647,"y","hco_thankyou.php",NA,"04/03/2014","23:29:17","23:38:47","Mozilla/5.0 (Linux; Android 4.1.1; GT-P5113 Build/JRO03C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.136 Safari/537.36",NA,"English",39,54321,7,7,9,10,7,10,4,2,5,9,2,9,8,3,8,6,2,6,2,2,9,5,2,5,1,3,7,3,3,5,"","","","","","","","","","","50to100",1,NA,NA,1,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","college","morethan20","v2g","no","no","CPC",9,"2","55to64",""
"40","PR","410332551",NA,"English10648",10648,"y","hco_thankyou.php",NA,"04/03/2014","23:30:11","23:36:16","Mozilla/5.0 (Linux; Android 4.4.2; Nexus 5 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.136 Mobile Safari/537.36",NA,"English",40,12345,4,2,1,5,2,9,3,5,8,8,6,1,1,5,1,9,2,3,6,2,3,7,5,9,2,2,1,10,6,1,"","","","","","","","","","","5to9",1,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,5,NA,5,NA,4,NA,3,NA,5,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","T1S","no","no","CPC",6,"4","35to44",""
"41","ON","410068242",NA,"English10649",10649,"y","hco_thankyou.php",NA,"04/03/2014","23:30:35","23:41:48","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",41,54321,5,10,6,9,4,9,4,4,6,1,10,5,2,10,9,7,4,9,3,4,5,6,3,6,8,3,6,10,10,6,"","","","","","","","","checked","","dontknow",1,NA,1,NA,1,1,NA,NA,1,"Tubbing",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,3,NA,3,NA,3,NA,5,NA,5,NA,5,NA,5,NA,4,NA,4,NA,"male","college","morethan20","K0C 1P0","yes","no","liberal",4,"4","65plus","Nothing @ this time"
"43","BC","410133447",NA,"English10651",10651,"y","hco_thankyou.php",NA,"04/03/2014","23:31:32","23:36:39","Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",43,54321,4,4,5,5,10,9,1,3,5,3,3,5,6,3,6,7,4,9,8,3,9,2,2,9,9,3,9,10,4,6,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,3,NA,3,NA,4,NA,5,NA,5,NA,4,NA,4,NA,5,NA,4,NA,"female","HS","morethan20","V2S","no","no","CPC",9,"3","55to64","no, thank you"
"44","PR","410309662",NA,"English10652",10652,"y","hco_thankyou.php",NA,"04/03/2014","23:32:06","23:43:14","Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",44,12345,6,2,6,7,7,9,9,2,9,5,2,9,8,3,1,3,3,4,10,7,1,2,2,1,1,3,1,4,2,1,"","","","","","","","","","","10to29",1,1,NA,1,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,2,NA,3,NA,5,NA,3,NA,4,NA,3,NA,4,NA,5,NA,5,NA,"male","graduate","morethan20","S4N","no","no","noparty",6,"2","55to64",""
