"X" "sample" "subsid" "pid" "name" "id" "complete" "user_las" "ip" "date" "time_in" "time_out" "user_bro" "user_set" "user_lan" "user_com" "IMP_Orde" "DCE_pg1" "DCE_leas" "DCE_most" "DCE_pg2" "DCE_leas" "DCE_most" "DCE_pg3" "DCE_leas" "DCE_most" "DCE_pg4" "DCE_leas" "DCE_most" "DCE_pg5" "DCE_leas" "DCE_most" "DCE_pg6" "DCE_leas" "DCE_most" "DCE_pg7" "DCE_leas" "DCE_most" "DCE_pg8" "DCE_leas" "DCE_most" "DCE_pg9" "DCE_leas" "DCE_most" "DCE_pg10" "DCE_leas" "DCE_most" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "DCEclick" "ocean_da" "rec_swim" "rec_boat" "rec_surf" "rec_scub" "rec_powe" "rec_recf" "rec_sigh" "rec_none" "rec_othe" "rec_spec" "jobs_com" "jobs_aqu" "jobs_fir" "jobs_tou" "jobs_tra" "jobs_por" "jobs_gov" "jobs_non" "jobs_oth" "jobs_spe" "seafood_" "foodprov" "foodprov" "aborigin" "aborigin" "nonfood_" "nonfood_" "carbonst" "carbonst" "coastalp" "coastalp" "coastall" "coastall" "tourismr" "tourismr" "icons_ge" "icons_xx" "cleanwat" "cleanwat" "biodiver" "biodiver" "demoone_" "demoone_" "demotwo_" "demotwo_" "envr_org" "envr_pro" "politica" "demothre" "demothre" "demothre" "comments"
"11" 19 "BC subsample" 410032607 "" "English33" 33 "y" "hco_thankyou.php" "" "05/03/2014" "17:28:52" "17:35:51" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)" "" "English" 2018 54321 2 2 9 8 3 9 7 7 9 5 2 9 6 2 8 1 3 10 9 2 9 10 7 10 4 2 5 3 3 5 "" "" "" "" "" "" "" "" "" "" "50to100" "1" "1" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "4" "" "3" "" "3" "" "4" "" "3" "" "3" "" "4" "" "5" "" "5" "" "5" "" "female" "graduate" "morethan20" "v6h" "no" "no" "NDP" "4" "1" "55to64" "I enjoyed doing this survey as I think this is a valuable topic to be discussed and it challenged me to think about my priorities."
"12" 20 "BC subsample" 410237209 "" "English34" 34 "y" "hco_thankyou.php" "" "05/03/2014" "17:29:51" "17:36:56" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0" "" "English" 2019 12345 5 6 10 8 8 1 9 7 4 3 8 4 6 8 6 1 3 10 4 1 4 2 8 10 7 8 4 10 7 4 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "4" "" "4" "" "4" "" "5" "" "5" "" "4" "" "4" "" "4" "" "4" "" "4" "" "male" "HS" "morethan20" "v3c" "no" "no" "liberal" "6" "4" "45to54" ""
"13" 21 "BC subsample" 410261904 "" "English35" 35 "y" "hco_thankyou.php" "" "05/03/2014" "17:31:07" "17:45:14" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" "" "English" 2020 54321 10 7 10 1 7 5 8 1 9 7 7 9 4 1 5 9 7 9 6 7 3 5 2 10 2 2 10 3 4 5 "" "" "" "" "" "" "" "" "" "" "5to9" "1" "1" "" "" "1" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "7to11yr" "5" "" "3" "" "3" "" "4" "" "5" "" "4" "" "4" "" "5" "" "5" "" "4" "" "female" "bachelors" "morethan20" "v8t" "no" "yes" "green" "4" "2" "25to34" ""
"14" 24 "BC subsample" 410174342 "" "English38" 38 "y" "hco_thankyou.php" "" "05/03/2014" "17:36:56" "17:49:37" "Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "" "English" 2023 12345 9 2 9 8 3 9 6 3 6 2 2 9 3 3 5 4 2 6 1 3 5 10 7 6 7 7 9 5 2 9 "" "" "" "" "" "" "" "" "" "" "30to49" "1" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "3" "" "3" "" "3" "" "4" "" "4" "" "4" "" "3" "" "4" "" "5" "" "5" "" "female" "college" "morethan20" "V5A" "no" "no" "green" "5" "2" "55to64" ""
"15" 26 "BC subsample" 410065749 "" "English40" 40 "y" "hco_thankyou.php" "" "05/03/2014" "17:37:16" "17:44:43" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "" "English" 2025 12345 3 3 4 1 7 10 6 2 8 2 2 9 4 2 4 5 2 9 10 7 4 9 2 9 7 7 9 8 3 9 "" "" "" "" "" "" "" "" "" "" "morethan100" "1" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "7to11yr" "4" "" "2" "" "3" "" "5" "" "5" "" "4" "" "2" "" "5" "" "5" "" "5" "" "female" "bachelors" "morethan20" "V9N" "no" "no" "green" "2" "1" "25to34" ""
"16" 27 "BC subsample" 410274064 "" "English41" 41 "y" "hco_thankyou.php" "" "05/03/2014" "17:37:25" "17:45:42" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; .NET4.0C; .NET4.0E)" "" "English" 2026 54321 3 3 5 2 2 10 8 3 9 4 2 5 9 3 9 1 7 5 5 2 5 7 7 4 6 3 8 10 7 10 "" "" "" "" "" "" "" "" "" "" "morethan100" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "3to6yr" "5" "" "4" "" "3" "" "3" "" "5" "" "5" "" "4" "" "5" "" "5" "" "5" "" "female" "HS" "morethan20" "" "no" "no" "NDP" "1" "" "65plus" ""
"17" 31 "BC subsample" 410198681 "" "English45" 45 "y" "hco_thankyou.php" "" "05/03/2014" "17:40:04" "17:45:13" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "" "English" 2030 54321 10 7 4 1 3 1 8 3 8 7 7 5 4 2 5 9 2 9 6 2 8 5 2 5 2 2 8 3 3 5 "" "" "" "" "" "" "" "" "" "" "morethan100" "" "1" "" "" "" "" "" "" "1" "playing in the sand with my kids" "" "" "" "" "" "" "" "1" "" "" "1to2month" "5" "" "1" "" "4" "" "5" "" "" "" "5" "" "" "" "5" "" "5" "" "5" "" "female" "bachelors" "morethan20" "v3e" "no" "no" "CPC" "6" "4" "35to44" ""
"18" 32 "BC subsample" 410138576 "" "English46" 46 "y" "hco_thankyou.php" "" "05/03/2014" "17:40:06" "17:49:15" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "" "English" 2031 12345 1 3 1 10 7 1 2 8 9 4 5 1 8 3 9 6 3 6 5 5 9 7 7 9 3 3 10 9 7 9 "" "" "" "" "" "" "" "" "" "" "none" "" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "5" "" "4" "" "4" "" "5" "" "5" "" "4" "" "4" "" "5" "" "5" "" "5" "" "female" "somepost" "morethan20" "v2s" "no" "no" "green" "4" "2" "65plus" ""
"19" 33 "BC subsample" 410103399 "" "English47" 47 "y" "hco_thankyou.php" "" "05/03/2014" "17:40:20" "17:50:36" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" "" "English" 2032 54321 3 4 5 2 2 1 7 8 9 1 3 1 6 3 6 8 3 9 9 3 9 10 7 1 4 2 1 5 2 9 "" "" "" "" "" "" "" "" "" "" "lessthan5" "1" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "4" "" "2" "" "3" "" "3" "" "4" "" "4" "" "4" "" "4" "" "5" "" "4" "" "male" "somepost" "morethan20" "V2B" "no" "yes" "CPC" "4" "2" "65plus" ""
"20" 34 "BC subsample" 410102267 "" "English48" 48 "y" "hco_thankyou.php" "" "05/03/2014" "17:41:02" "17:48:54" "Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "" "English" 2033 12345 9 2 7 8 3 1 6 3 8 2 2 10 3 3 5 4 2 6 1 3 5 10 7 6 7 7 9 5 2 9 "" "" "" "" "" "" "" "" "" "" "10to29" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "5" "" "3" "" "4" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "male" "HS" "morethan20" "" "no" "yes" "liberal" "4" "2" "65plus" "tHE OCEANS HAVE TO REMAIN CLEAN, TO SUSTAIN ALL MARINE LIFE."
"21" 35 "BC subsample" 410237876 "" "English50" 50 "y" "hco_thankyou.php" "" "05/03/2014" "17:42:16" "17:51:55" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "" "English" 2035 12345 3 4 8 1 3 7 6 2 8 2 2 9 4 2 1 5 2 9 10 4 7 9 2 9 7 4 9 8 3 9 "" "" "" "" "" "" "" "" "" "" "50to100" "" "" "" "" "" "" "" "" "1" "walking my dog along the beach" "" "" "" "" "" "" "" "1" "" "" "3to6yr" "3" "" "1" "" "3" "" "2" "" "2" "" "2" "" "3" "" "4" "" "4" "" "3" "" "male" "somepost" "morethan20" "v6g" "no" "no" "dontknow" "9" "1" "55to64" ""
"22" 37 "BC subsample" 410053258 "" "English51" 51 "y" "hco_thankyou.php" "" "05/03/2014" "17:42:37" "17:55:17" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; WOW64; Trident/5.0)" "" "English" 2036 54321 3 3 10 2 2 10 8 3 9 4 2 1 9 2 9 1 3 1 5 2 9 7 5 9 6 3 6 10 10 1 "" "" "" "" "" "" "" "" "" "" "none" "1" "" "" "" "1" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "7to11yr" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "male" "somepost" "morethan20" "V1W" "no" "no" "liberal" "4" "2" "65plus" "OUR SURROUNGING WATER MUST BE KEPT CLEAN & HEALTHY SO THAT THE NEXT GENERATION WILL BE ABLE TO ENJOY & USE THE OCEAN PROVIDES JOBS FOOD & ENJOYMENT TO ALL PEOPLE"
"23" 38 "BC subsample" 410316208 "" "English52" 52 "y" "hco_thankyou.php" "" "05/03/2014" "17:43:08" "17:52:46" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/6.1.2 Safari/537.74.9" "" "English" 2037 12345 3 5 4 6 2 6 7 5 9 5 2 9 10 7 1 2 8 1 9 7 9 8 8 1 1 5 1 4 5 1 "" "" "" "" "" "" "" "" "" "" "30to49" "1" "1" "" "1" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "4" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "male" "college" "morethan20" "V3K" "yes" "no" "dontknow" "5" "2" "55to64" "These surveys help us to appreciate our environment, which we usually take for granted. This was a thought provoking survey. Thank you."
"24" 40 "BC subsample" 410302415 "" "English54" 54 "y" "hco_thankyou.php" "" "05/03/2014" "17:43:42" "18:00:11" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "" "English" 2039 12345 5 2 10 8 6 1 9 2 9 3 4 10 6 2 8 1 7 1 4 2 1 2 2 1 7 4 9 10 4 1 "" "" "" "" "" "" "" "" "" "" "morethan100" "" "" "" "" "" "1" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2month" "4" "" "1" "" "" "" "" "" "4" "" "3" "" "3" "" "5" "" "5" "" "4" "" "male" "college" "morethan20" "V0r" "no" "no" "noparty" "6" "2" "45to54" ""
"25" 41 "BC subsample" 410095405 "" "English55" 55 "y" "hco_thankyou.php" "" "05/03/2014" "17:43:47" "17:54:52" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0" "" "English" 2040 54321 2 2 1 1 3 5 9 3 9 8 3 9 10 7 6 5 2 5 7 7 5 4 2 5 3 3 5 6 7 6 "" "" "" "" "" "" "" "" "" "" "morethan100" "1" "1" "" "" "" "" "1" "" "1" "Sailing" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "5" "" "female" "bachelors" "morethan20" "V9T" "no" "yes" "green" "4" "2" "55to64" "This is the best survey and most interesting that I have done in a long time. The protection of the ocean is very critical and I fear that too many groups do not want to take this seriously enough. I really struggled with having to make a best/worst choice because I believe all the elements are critical to a healthy ocean future. Thank you for providing this survey."
"26" 43 "BC subsample" 410047954 "" "English57" 57 "y" "hco_thankyou.php" "" "05/03/2014" "17:44:00" "18:16:07" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "" "English" 2042 54321 9 3 9 2 10 1 6 3 6 10 7 1 7 4 9 3 10 5 5 10 9 1 3 1 4 4 1 8 3 9 "checked" "" "checked" "checked" "" "" "" "checked" "checked" "checked" "5to9" "" "" "" "" "" "" "" "" "" "Family picnic on an island" "" "" "" "" "" "" "" "1" "" "" "3to6yr" "4" "" "4" "" "5" "" "4" "" "4" "" "5" "" "5" "" "5" "" "5" "" "5" "" "male" "HS" "morethan20" "V3A" "no" "no" "noparty" "2" "2" "65plus" ""
"27" 44 "BC subsample" 410271887 "" "English58" 58 "y" "hco_thankyou.php" "" "05/03/2014" "17:44:09" "17:57:06" "Mozilla/5.0 (Linux; U; Android 4.1.2; en-ca; SM-T210R Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30" "" "English" 2043 12345 1 3 7 10 7 6 7 7 9 3 3 5 4 2 6 8 3 9 9 7 9 5 2 9 6 3 6 2 2 9 "" "" "" "" "" "" "" "" "" "" "50to100" "1" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "3to6yr" "3" "" "3" "" "3" "" "3" "" "4" "" "5" "" "3" "" "3" "" "5" "" "4" "" "male" "HS" "morethan20" "v8z" "no" "no" "noresponse" "2" "2" "" ""
"28" 45 "BC subsample" 410340357 "" "English59" 59 "y" "hco_thankyou.php" "" "05/03/2014" "17:45:23" "17:54:47" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.5; Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1) ; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; OfficeLiveConnector.1.5; OfficeLivePatch.1" "" "English" 2044 54321 3 3 10 8 3 9 5 2 5 4 2 5 7 7 9 1 3 1 10 7 6 9 3 9 6 3 8 2 2 9 "" "" "" "" "" "" "" "" "" "" "50to100" "" "" "" "" "" "" "1" "" "1" "walking, taking the ferry" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "4" "" "4" "" "2" "" "5" "" "5" "" "4" "" "3" "" "5" "" "5" "" "5" "" "female" "somepost" "morethan20" "V0R" "yes" "yes" "green" "1" "2" "55to64" ""
"29" 46 "BC subsample" 410045213 "" "English60" 60 "y" "hco_thankyou.php" "" "05/03/2014" "17:45:36" "18:00:16" "Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53" "" "English" 2045 12345 10 7 4 6 3 6 8 3 9 9 7 9 3 3 5 4 2 4 2 8 9 7 8 5 1 3 5 5 2 5 "" "" "" "" "" "" "" "" "" "" "morethan100" "" "" "" "" "" "" "" "" "1" "Walking on shore" "" "" "" "" "" "" "" "" "1" "Marine consulting company" "atleast1wk" "5" "" "5" "" "3" "" "5" "" "5" "" "4" "" "5" "" "5" "" "5" "" "5" "" "female" "graduate" "morethan20" "V8l" "yes" "no" "green" "9" "2" "55to64" ""
"30" 47 "BC subsample" 410309176 "" "English61" 61 "y" "hco_thankyou.php" "" "05/03/2014" "17:46:24" "17:56:12" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" "" "English" 2046 54321 3 4 8 9 2 9 8 6 9 6 2 8 2 2 9 7 4 9 10 4 1 4 2 5 1 10 5 5 2 9 "" "" "" "" "" "" "" "" "" "" "lessthan5" "" "" "" "" "" "" "" "" "1" "beach walking" "" "" "" "" "" "" "" "1" "" "" "7to11yr" "4" "" "1" "" "3" "" "3" "" "4" "" "3" "" "5" "" "5" "" "5" "" "5" "" "female" "somepost" "morethan20" "V2B" "no" "no" "CPC" "9" "2" "55to64" ""
"31" 48 "BC subsample" 410032460 "" "English62" 62 "y" "hco_thankyou.php" "" "05/03/2014" "17:46:40" "17:54:15" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36" "" "English" 2047 12345 1 3 10 6 3 6 9 3 9 2 2 1 8 3 1 5 2 6 4 2 6 10 4 1 7 4 5 3 3 5 "" "" "" "" "" "" "" "" "" "" "morethan100" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "" "1" "" "" "1to2yr" "4" "" "2" "" "3" "" "3" "" "4" "" "4" "" "4" "" "4" "" "4" "" "4" "" "male" "bachelors" "morethan20" "V7E" "no" "no" "CPC" "4" "1" "65plus" "no"
"32" 50 "BC subsample" 410272317 "" "English64" 64 "y" "hco_thankyou.php" "" "05/03/2014" "17:47:35" "17:54:20" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "" "English" 2049 12345 3 3 8 1 3 1 5 2 9 4 2 1 6 3 8 2 2 8 10 6 1 7 7 9 9 3 9 8 3 1 "" "" "" "" "" "" "" "" "" "" "morethan100" "" "" "" "" "" "" "1" "" "" "" "" "" "" "" "" "" "" "1" "" "" "atleast1wk" "5" "" "3" "" "3" "" "5" "" "5" "" "3" "" "3" "" "5" "" "5" "" "5" "" "female" "graduate" "11to20" "v9p" "no" "no" "dontknow" "9" "2" "25to34" ""
