"","sample","subsid","pid","name","id","completed","user_last_section","ip","date","time_in","time_out","user_browser","user_setid_dce1","user_language","user_combo","IMP_Order","DCE_pg1","DCE_least1","DCE_most1","DCE_pg2","DCE_least2","DCE_most2","DCE_pg3","DCE_least3","DCE_most3","DCE_pg4","DCE_least4","DCE_most4","DCE_pg5","DCE_least5","DCE_most5","DCE_pg6","DCE_least6","DCE_most6","DCE_pg7","DCE_least7","DCE_most7","DCE_pg8","DCE_least8","DCE_most8","DCE_pg9","DCE_least9","DCE_most9","DCE_pg10","DCE_least10","DCE_most10","DCEclick_1","DCEclick_2","DCEclick_3","DCEclick_4","DCEclick_5","DCEclick_6","DCEclick_7","DCEclick_8","DCEclick_9","DCEclick_10","ocean_days","rec_swim","rec_boat","rec_surf","rec_scuba","rec_powerboat","rec_recfish","rec_sightsee","rec_none","rec_other","rec_specify","jobs_comfish","jobs_aquaculture","jobs_firstnations","jobs_tourism","jobs_transport","jobs_port","jobs_govt","jobs_none","jobs_other","jobs_specify","seafood_eat","foodprovision_general","foodprovision_xx","aboriginalneeds_general","aboriginalneeds_xx","nonfood_general","nonfood_xx","carbonstorage_general","carbonstorage_xx","coastalprotection_general","coastalprotection_xx","coastallivelihood_general","coastallivelihood_xx","tourismrec_general","tourismrec_xx","icons_general","icons_xx","cleanwater_general","cleanwater_xx","biodiversity_general","biodiversity_xx","demoone_gender","demoone_education","demotwo_livedCanada","demotwo_fsa","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","comments"
"19","QC",410155102,NA,"FRENCH10570",10570,"y","hco_thankyou.php",NA,"04/03/2014","23:16:54","23:29:24","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; BOIE9;FRCA; rv:11.0) like Gecko",NA,"FRENCH",1018,12345,9,7,4,4,1,5,6,3,6,8,3,8,3,3,10,7,7,5,1,3,10,2,1,10,5,9,10,10,7,10,"","","","","","","","","","","5to9",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",3,NA,4,NA,3,NA,3,NA,4,NA,4,NA,3,NA,4,NA,4,NA,4,NA,"female","HS","morethan20","h2m","no","no","dontknow",1,1,"55to64",""
"20","QC",410149296,NA,"FRENCH10571",10571,"y","hco_thankyou.php",NA,"04/03/2014","23:20:48","23:32:01","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0; BOIE9;FRCA)",NA,"FRENCH",1019,54321,6,2,6,1,3,5,4,2,6,7,4,9,5,10,6,3,3,8,10,4,7,9,2,9,2,2,9,8,1,9,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,3,NA,"male","HS","morethan20","H4J","no","no","NDP",3,1,"55to64",""
"21","QC",410280915,NA,"FRENCH10572",10572,"y","hco_thankyou.php",NA,"04/03/2014","23:24:01","23:33:53","Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",NA,"FRENCH",1020,12345,1,3,5,7,7,9,8,3,9,2,2,9,4,2,1,5,2,9,3,3,10,6,2,6,9,2,9,10,7,10,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,3,NA,4,NA,3,NA,4,NA,4,NA,4,NA,4,NA,5,NA,5,NA,"male","bachelors","morethan20","G2C","no","no","NDP",4,2,"55to64",""
"22","QC",410306838,NA,"FRENCH10573",10573,"y","hco_thankyou.php",NA,"04/03/2014","23:36:56","23:48:57","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"FRENCH",1021,54321,8,3,9,6,3,8,9,3,4,1,3,10,5,2,10,2,2,9,4,2,4,7,7,9,10,7,1,3,8,10,"","","","","","","","","","","none",1,1,NA,1,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,4,NA,5,NA,4,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"male","somepost","morethan20","J4M","no","no","NDP",6,2,"55to64",""
"23","QC",410257800,NA,"FRENCH10574",10574,"y","hco_thankyou.php",NA,"04/03/2014","23:39:15","23:46:30","Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",NA,"FRENCH",1022,12345,8,3,9,2,2,9,3,10,8,5,2,9,6,2,8,1,3,1,4,2,1,10,4,6,7,4,9,9,4,9,"","","","","","","","","","","30to49",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,1,1,NA,NA,NA,NA,"","atleast1wk",3,NA,3,NA,2,NA,3,NA,3,NA,3,NA,4,NA,4,NA,5,NA,3,NA,"female","bachelors","morethan20","G7s","no","yes","noresponse",3,2,"45to54",""
"27","QC",410149752,NA,"FRENCH10578",10578,"y","hco_thankyou.php",NA,"05/03/2014","0:21:48","0:28:48","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"FRENCH",1026,12345,3,3,4,4,2,4,2,2,9,7,7,4,10,7,4,8,3,9,5,2,10,6,3,8,1,3,10,9,3,4,"","","","","","","","","","","5to9",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,3,NA,2,NA,5,NA,5,NA,4,NA,3,NA,5,NA,5,NA,5,NA,"","college","morethan20","J3Y","no","no","NDP",5,2,"55to64",""
"28","QC",410137287,NA,"FRENCH10579",10579,"y","hco_thankyou.php",NA,"05/03/2014","0:31:02","1:00:40","Mozilla/5.0 (Windows NT 6.1; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"FRENCH",1027,54321,9,2,9,4,6,5,6,7,6,8,1,9,3,3,5,7,7,9,1,3,5,2,2,9,5,6,9,10,7,1,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,5,NA,4,NA,5,NA,5,NA,4,NA,4,NA,4,NA,5,NA,4,NA,"female","college","morethan20","H7N","no","no","CPC",3,2,"65plus","Sans être défaitiste je ne crois pas que l'être humain réussira à renouveler la face de la terre. Seul Celui qui l'a créé a le pouvoir d'intervenir...et il le fera!"
"29","QC",410300530,NA,"FRENCH10580",10580,"y","hco_thankyou.php",NA,"05/03/2014","0:32:56","0:42:11","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"FRENCH",1028,12345,6,2,3,1,7,3,4,2,4,7,8,5,5,2,5,3,8,3,10,7,4,9,2,3,2,2,9,8,8,3,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,"","1to2yr",4,NA,1,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","HS","morethan20","j5a","no","no","Bloc",4,2,"35to44",""
"32","QC",410153549,NA,"FRENCH10583",10583,"y","hco_thankyou.php",NA,"05/03/2014","0:55:03","1:01:30","Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"FRENCH",1031,54321,8,3,9,2,2,9,3,3,10,5,2,9,6,2,6,1,3,1,4,2,1,10,7,1,7,5,9,9,2,9,"","","","","","","","","","","50to100",1,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,2,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"male","college","morethan20","g8b","no","no","noparty",4,2,"55to64",""
"33","QC",410176946,NA,"FRENCH10584",10584,"y","hco_thankyou.php",NA,"05/03/2014","1:02:32","1:07:40","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"FRENCH",1032,12345,2,2,9,3,3,10,6,2,8,9,2,9,8,8,9,5,2,9,1,3,5,7,5,9,10,7,1,4,2,1,"","","","","","","","checked","","","5to9",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",3,NA,2,NA,2,NA,4,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","j2c","no","no","NDP",2,2,"55to64",""
"34","QC",410136635,NA,"FRENCH10585",10585,"y","hco_thankyou.php",NA,"05/03/2014","1:03:59","1:11:32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.10 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.10",NA,"FRENCH",1033,54321,8,8,3,6,7,3,2,8,10,1,7,5,7,7,4,4,1,5,9,7,9,10,7,10,5,2,10,3,8,4,"","","","","","","","","","","10to29",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,5,NA,4,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,4,NA,"male","graduate","morethan20","G7H","no","no","Bloc",9,NA,"65plus",""
"38","QC",410283962,NA,"FRENCH10589",10589,"y","hco_thankyou.php",NA,"05/03/2014","1:32:05","1:45:21","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.76 Safari/537.36",NA,"FRENCH",1037,54321,1,3,1,9,2,9,3,3,10,2,2,9,4,2,1,10,4,1,8,8,9,5,2,9,7,8,9,6,3,7,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",4,NA,4,NA,4,NA,4,NA,5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,"male","HS","morethan20","h1h","no","no","Bloc",5,3,"55to64","Aucune remarque"
"41","QC",410282709,NA,"FRENCH10592",10592,"y","hco_thankyou.php",NA,"05/03/2014","2:02:18","2:10:58","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"FRENCH",1040,12345,9,4,9,2,8,9,3,8,10,6,8,6,8,8,9,5,2,9,1,10,5,7,8,9,10,4,1,4,4,6,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,2,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,5,NA,4,NA,"female","college","morethan20","G7H","","no","noresponse",9,2,"45to54",""
"42","QC",410069213,NA,"FRENCH10593",10593,"y","hco_thankyou.php",NA,"05/03/2014","2:38:32","2:49:50","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"FRENCH",1041,54321,8,3,9,6,7,6,2,2,10,1,7,10,7,7,4,4,2,4,9,7,4,10,7,10,5,2,10,3,3,10,"","","","","","","","","","","10to29",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,5,NA,4,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"male","bachelors","morethan20","h9a","no","no","noparty",7,3,"55to64",""
"45","QC",410164745,NA,"FRENCH10596",10596,"y","hco_thankyou.php",NA,"05/03/2014","3:45:16","3:52:46","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"FRENCH",1044,12345,5,2,10,1,3,7,3,3,5,6,3,8,8,3,1,2,2,1,9,3,9,7,7,9,10,7,10,4,2,5,"","","","","","","","","","","5to9",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",3,NA,3,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,5,NA,5,NA,"female","college","morethan20","j3y","no","no","Bloc",4,3,"45to54",""
"46","QC",410232299,NA,"FRENCH10597",10597,"y","hco_thankyou.php",NA,"05/03/2014","4:14:48","4:23:19","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",NA,"FRENCH",1045,54321,2,8,1,10,4,1,3,4,3,5,10,6,9,4,9,7,4,9,6,8,6,8,8,1,1,7,1,4,4,1,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"male","bachelors","morethan20","j2w","no","no","noparty",3,2,"65plus",""
"47","QC",410058990,NA,"FRENCH10598",10598,"y","hco_thankyou.php",NA,"05/03/2014","4:15:37","4:28:02","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"FRENCH",1046,12345,2,2,1,1,3,1,10,7,4,4,2,1,3,3,10,7,7,9,6,2,6,9,2,9,5,2,9,8,3,1,"","","","checked","","","","","","checked","10to29",NA,NA,NA,NA,1,1,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,3,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","HS","morethan20","H1T","no","no","CPC",6,2,"65plus",""
"50","QC",410346809,NA,"FRENCH10601",10601,"y","hco_thankyou.php",NA,"05/03/2014","12:20:22","12:34:37","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"FRENCH",1049,54321,2,2,10,4,2,6,3,5,4,7,7,9,6,3,6,1,3,10,5,2,9,10,7,4,8,3,9,9,3,9,"","","","","","","","","","","5to9",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",3,NA,3,NA,3,NA,4,NA,2,NA,4,NA,2,NA,3,NA,2,NA,2,NA,"female","HS","morethan20","J0Z","yes","no","noparty",1,2,"55to64",""
"51","QC",410342858,NA,"FRENCH10602",10602,"y","hco_thankyou.php",NA,"05/03/2014","12:23:56","12:32:06","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"FRENCH",1050,12345,3,4,10,6,7,6,10,7,1,7,7,9,9,7,9,4,4,1,8,8,1,5,2,6,1,7,1,2,8,1,"","","","","","","","","","checked","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,4,NA,4,NA,"male","college","morethan20","J6W","no","no","Bloc",9,2,"65plus","Les questions sur la situation financière des répondants ainsi que l'opinion politique ne devraient pas faire partie intégrale d'un tel sondage."
"52","QC",410144840,NA,"FRENCH10603",10603,"y","hco_thankyou.php",NA,"05/03/2014","12:27:44","12:40:08","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"FRENCH",1051,54321,4,2,5,5,2,9,1,7,5,3,3,8,6,3,6,7,7,4,8,3,9,2,2,9,9,3,9,10,7,4,"","","","","","","","","","","5to9",1,NA,NA,1,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","college","morethan20","g1n","no","dontknow","dontknow",4,4,"45to54",""
