"","sample","subsid","pid","name","id","completed","user_last_section","ip","date","time_in","time_out","user_browser","user_setid_dce1","user_language","user_combo","IMP_Order","DCE_pg1","DCE_least1","DCE_most1","DCE_pg2","DCE_least2","DCE_most2","DCE_pg3","DCE_least3","DCE_most3","DCE_pg4","DCE_least4","DCE_most4","DCE_pg5","DCE_least5","DCE_most5","DCE_pg6","DCE_least6","DCE_most6","DCE_pg7","DCE_least7","DCE_most7","DCE_pg8","DCE_least8","DCE_most8","DCE_pg9","DCE_least9","DCE_most9","DCE_pg10","DCE_least10","DCE_most10","DCEclick_1","DCEclick_2","DCEclick_3","DCEclick_4","DCEclick_5","DCEclick_6","DCEclick_7","DCEclick_8","DCEclick_9","DCEclick_10","ocean_days","rec_swim","rec_boat","rec_surf","rec_scuba","rec_powerboat","rec_recfish","rec_sightsee","rec_none","rec_other","rec_specify","jobs_comfish","jobs_aquaculture","jobs_firstnations","jobs_tourism","jobs_transport","jobs_port","jobs_govt","jobs_none","jobs_other","jobs_specify","seafood_eat","foodprovision_general","foodprovision_xx","aboriginalneeds_general","aboriginalneeds_xx","nonfood_general","nonfood_xx","carbonstorage_general","carbonstorage_xx","coastalprotection_general","coastalprotection_xx","coastallivelihood_general","coastallivelihood_xx","tourismrec_general","tourismrec_xx","icons_general","icons_xx","cleanwater_general","cleanwater_xx","biodiversity_general","biodiversity_xx","demoone_gender","demoone_education","demotwo_livedCanada","demotwo_fsa","envr_org","envr_protest","political_party","demothree_income","demothree_householdsize","demothree_age","comments","zeros","NAs","data2$repeated"
"14","BC","410106445",NA,"English28",28,"y","hco_thankyou.php",NA,"05/03/2014","17:26:10","17:37:59","Mozilla/5.0 (Windows NT 5.1; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2013,12345,9,3,7,7,7,9,1,3,1,10,7,1,2,2,9,8,6,9,6,3,6,3,3,5,5,2,9,4,2,1,"","","","","","","","","","","10to29",NA,NA,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",3,NA,4,NA,2,NA,4,NA,5,NA,4,NA,5,NA,5,NA,5,NA,4,NA,"male","somepost","morethan20","v9l","no","no","green",3,"2","65plus","",0,0,0
"15","BC","410214229",NA,"English29",29,"y","hco_thankyou.php",NA,"05/03/2014","17:26:22","17:36:16","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2014,54321,8,3,9,5,6,5,6,2,8,1,7,10,7,7,9,10,7,10,4,1,2,3,3,10,9,3,9,2,1,10,"","","","","","","","","","","none",1,1,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"male","college","morethan20","v6y","no","no","liberal",4,"1","25to34","",0,0,1
"16","BC","410109346",NA,"English31",31,"y","hco_comments.php",NA,"05/03/2014","17:27:12","17:34:36","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2016,54321,7,7,9,10,7,10,1,7,1,4,4,1,6,2,8,3,5,10,9,7,9,5,2,10,8,6,1,2,2,8,"","","","","","","","","","","5to9",1,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,4,NA,"male","somepost","morethan20","","no","no","liberal",4,"","65plus","",0,0,0
"17","BC","410094738",NA,"English30",30,"y","hco_thankyou.php",NA,"05/03/2014","17:26:48","17:34:11","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2015,12345,5,2,9,8,3,9,2,2,9,6,2,6,3,3,5,9,2,9,1,3,5,10,4,6,7,4,9,4,2,6,"","","","","","","","","","","30to49",NA,NA,NA,NA,NA,NA,NA,NA,NA,"suntanning",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,3,NA,"male","bachelors","morethan20","V8R","no","no","noresponse",3,"1","35to44","",0,0,0
"19","BC","410032607",NA,"English33",33,"y","hco_thankyou.php",NA,"05/03/2014","17:28:52","17:35:51","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)",NA,"English",2018,54321,2,2,9,8,3,9,7,7,9,5,2,9,6,2,8,1,3,10,9,2,9,10,7,10,4,2,5,3,3,5,"","","","","","","","","","","50to100",1,1,NA,NA,1,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,3,NA,3,NA,4,NA,3,NA,3,NA,4,NA,5,NA,5,NA,5,NA,"female","graduate","morethan20","v6h","no","no","NDP",4,"1","55to64","I enjoyed doing this survey as I think this is a valuable topic to be discussed and it challenged me to think about my priorities.",0,0,0
"20","BC","410237209",NA,"English34",34,"y","hco_thankyou.php",NA,"05/03/2014","17:29:51","17:36:56","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2019,12345,5,6,10,8,8,1,9,7,4,3,8,4,6,8,6,1,3,10,4,1,4,2,8,10,7,8,4,10,7,4,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,4,NA,4,NA,5,NA,5,NA,4,NA,4,NA,4,NA,4,NA,4,NA,"male","HS","morethan20","v3c","no","no","liberal",6,"4","45to54","",0,0,0
"21","BC","410261904",NA,"English35",35,"y","hco_thankyou.php",NA,"05/03/2014","17:31:07","17:45:14","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",2020,54321,10,7,10,1,7,5,8,1,9,7,7,9,4,1,5,9,7,9,6,7,3,5,2,10,2,2,10,3,4,5,"","","","","","","","","","","5to9",1,1,NA,NA,1,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",5,NA,3,NA,3,NA,4,NA,5,NA,4,NA,4,NA,5,NA,5,NA,4,NA,"female","bachelors","morethan20","v8t","no","yes","green",4,"2","25to34","",0,0,0
"22","BC","410194729",NA,"English36",36,"y","hco_thankyou.php",NA,"05/03/2014","17:32:21","17:40:17","Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",NA,"English",2021,12345,1,7,0,10,4,6,2,10,9,4,4,6,8,8,9,6,8,6,5,10,9,7,8,9,3,8,5,9,4,9,"","","","","","","","","","","30to49",NA,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",4,NA,4,NA,4,NA,3,NA,5,NA,5,NA,3,NA,4,NA,5,NA,5,NA,"female","somepost","morethan20","V2A","no","no","CPC",9,"2","65plus","",1,0,0
"23","BC","410299547",NA,"English37",37,"y","hco_thankyou.php",NA,"05/03/2014","17:33:29","17:38:05","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",2022,54321,3,3,5,2,1,9,7,7,9,1,7,5,6,7,8,8,3,9,9,7,9,10,7,1,4,2,1,5,2,9,"","","","","","","","","","","lessthan5",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",4,NA,3,NA,4,NA,5,NA,5,NA,3,NA,3,NA,3,NA,5,NA,5,NA,"male","bachelors","morethan20","V2Y","no","no","CPC",9,"6","35to44","",0,0,0
"24","BC","410174342",NA,"English38",38,"y","hco_thankyou.php",NA,"05/03/2014","17:36:56","17:49:37","Mozilla/5.0 (iPad; CPU OS 7_0_6 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B651 Safari/9537.53",NA,"English",2023,12345,9,2,9,8,3,9,6,3,6,2,2,9,3,3,5,4,2,6,1,3,5,10,7,6,7,7,9,5,2,9,"","","","","","","","","","","30to49",1,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",3,NA,3,NA,3,NA,4,NA,4,NA,4,NA,3,NA,4,NA,5,NA,5,NA,"female","college","morethan20","V5A","no","no","green",5,"2","55to64","",0,0,0
"26","BC","410065749",NA,"English40",40,"y","hco_thankyou.php",NA,"05/03/2014","17:37:16","17:44:43","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)",NA,"English",2025,12345,3,3,4,1,7,10,6,2,8,2,2,9,4,2,4,5,2,9,10,7,4,9,2,9,7,7,9,8,3,9,"","","","","","","","","","","morethan100",1,NA,NA,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",4,NA,2,NA,3,NA,5,NA,5,NA,4,NA,2,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","V9N","no","no","green",2,"1","25to34","",0,0,0
"27","BC","410274064",NA,"English41",41,"y","hco_thankyou.php",NA,"05/03/2014","17:37:25","17:45:42","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0; .NET4.0C; .NET4.0E)",NA,"English",2026,54321,3,3,5,2,2,10,8,3,9,4,2,5,9,3,9,1,7,5,5,2,5,7,7,4,6,3,8,10,7,10,"","","","","","","","","","","morethan100",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3to6yr",5,NA,4,NA,3,NA,3,NA,5,NA,5,NA,4,NA,5,NA,5,NA,5,NA,"female","HS","morethan20","","no","no","NDP",1,"","65plus","",0,0,0
"28","BC","410272828",NA,"English42",42,"y","hco_thankyou.php",NA,"05/03/2014","17:37:47","17:40:28","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",NA,"English",2027,12345,3,3,4,6,2,6,7,7,8,5,5,6,10,7,10,2,1,2,9,3,9,8,9,8,1,10,1,4,4,5,"","","","","","","","","","","5to9",1,1,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,"","Never",1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,1,NA,"male","elementary","lessthan2","","yes","yes","Bloc",1,"2","20to24","",0,0,0
"29","BC","410085002",NA,"English43",43,"y","hco_thankyou.php",NA,"05/03/2014","17:38:57","17:43:44","Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.3; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; McAfee; ASU2JS)",NA,"English",2028,54321,2,2,9,8,3,9,7,7,5,5,6,9,6,3,7,1,3,10,9,3,7,10,10,6,4,2,5,3,3,10,"","checked","","","","","","","","","30to49",1,NA,NA,NA,NA,1,NA,NA,NA,"",1,NA,NA,NA,NA,NA,NA,NA,NA,"","1to2month",NA,NA,2,NA,3,NA,3,NA,5,NA,4,NA,4,NA,5,NA,5,NA,3,NA,"male","somepost","morethan20","v3h","no","no","green",5,"3","55to64","",0,0,0
"30","BC","410271610",NA,"English44",44,"y","hco_thankyou.php",NA,"05/03/2014","17:39:11","17:43:15","Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C)",NA,"English",2029,12345,5,6,10,8,6,1,9,7,9,3,8,10,6,7,3,1,7,10,4,6,1,2,8,1,7,7,9,10,7,1,"","","","","","","","","","","5to9",NA,NA,NA,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,2,NA,4,NA,4,NA,4,NA,3,NA,3,NA,3,NA,5,NA,5,NA,"female","college","morethan20","v4t","no","no","noparty",9,"3","35to44","",0,0,0
"31","BC","410198681",NA,"English45",45,"y","hco_thankyou.php",NA,"05/03/2014","17:40:04","17:45:13","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2030,54321,10,7,4,1,3,1,8,3,8,7,7,5,4,2,5,9,2,9,6,2,8,5,2,5,2,2,8,3,3,5,"","","","","","","","","","","morethan100",NA,1,NA,NA,NA,NA,NA,NA,1,"playing in the sand with my kids",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,1,NA,4,NA,5,NA,NA,NA,5,NA,NA,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","v3e","no","no","CPC",6,"4","35to44","",0,0,0
"32","BC","410138576",NA,"English46",46,"y","hco_thankyou.php",NA,"05/03/2014","17:40:06","17:49:15","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",NA,"English",2031,12345,1,3,1,10,7,1,2,8,9,4,5,1,8,3,9,6,3,6,5,5,9,7,7,9,3,3,10,9,7,9,"","","","","","","","","","","none",NA,NA,NA,NA,NA,NA,NA,1,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,4,NA,4,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"female","somepost","morethan20","v2s","no","no","green",4,"2","65plus","",0,0,0
"33","BC","410103399",NA,"English47",47,"y","hco_thankyou.php",NA,"05/03/2014","17:40:20","17:50:36","Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",NA,"English",2032,54321,3,4,5,2,2,1,7,8,9,1,3,1,6,3,6,8,3,9,9,3,9,10,7,1,4,2,1,5,2,9,"","","","","","","","","","","lessthan5",1,NA,NA,1,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,2,NA,3,NA,3,NA,4,NA,4,NA,4,NA,4,NA,5,NA,4,NA,"male","somepost","morethan20","V2B","no","yes","CPC",4,"2","65plus","",0,0,0
"34","BC","410102267",NA,"English48",48,"y","hco_thankyou.php",NA,"05/03/2014","17:41:02","17:48:54","Mozilla/5.0 (Windows NT 6.3; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2033,12345,9,2,7,8,3,1,6,3,8,2,2,10,3,3,5,4,2,6,1,3,5,10,7,6,7,7,9,5,2,9,"","","","","","","","","","","10to29",NA,NA,NA,NA,NA,1,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","1to2month",5,NA,3,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","HS","morethan20","","no","yes","liberal",4,"2","65plus","tHE OCEANS HAVE TO REMAIN CLEAN, TO SUSTAIN ALL MARINE LIFE.",0,0,0
"35","BC","410237876",NA,"English50",50,"y","hco_thankyou.php",NA,"05/03/2014","17:42:16","17:51:55","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)",NA,"English",2035,12345,3,4,8,1,3,7,6,2,8,2,2,9,4,2,1,5,2,9,10,4,7,9,2,9,7,4,9,8,3,9,"","","","","","","","","","","50to100",NA,NA,NA,NA,NA,NA,NA,NA,1,"walking my dog along the beach",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3to6yr",3,NA,1,NA,3,NA,2,NA,2,NA,2,NA,3,NA,4,NA,4,NA,3,NA,"male","somepost","morethan20","v6g","no","no","dontknow",9,"1","55to64","",0,0,0
"36","BC","410341997",NA,"English49",49,"y","hco_thankyou.php",NA,"05/03/2014","17:42:14","17:46:34","Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2034,54321,2,2,9,6,3,8,3,3,5,5,2,5,7,7,5,1,3,5,4,2,5,9,2,9,8,3,9,10,7,10,"","","","","","","","","","","10to29",1,NA,NA,1,1,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",4,NA,3,NA,2,NA,5,NA,5,NA,4,NA,4,NA,5,NA,5,NA,5,NA,"female","bachelors","morethan20","v2k","yes","yes","green",7,"2","25to34","",0,0,0
"37","BC","410053258",NA,"English51",51,"y","hco_thankyou.php",NA,"05/03/2014","17:42:37","17:55:17","Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; WOW64; Trident/5.0)",NA,"English",2036,54321,3,3,10,2,2,10,8,3,9,4,2,1,9,2,9,1,3,1,5,2,9,7,5,9,6,3,6,10,10,1,"","","","","","","","","","","none",1,NA,NA,NA,1,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","7to11yr",5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","somepost","morethan20","V1W","no","no","liberal",4,"2","65plus","OUR SURROUNGING WATER MUST BE KEPT CLEAN & HEALTHY SO THAT THE NEXT GENERATION WILL BE ABLE TO ENJOY & USE THE OCEAN PROVIDES JOBS FOOD & ENJOYMENT TO ALL PEOPLE",0,0,0
"38","BC","410316208",NA,"English52",52,"y","hco_thankyou.php",NA,"05/03/2014","17:43:08","17:52:46","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/6.1.2 Safari/537.74.9",NA,"English",2037,12345,3,5,4,6,2,6,7,5,9,5,2,9,10,7,1,2,8,1,9,7,9,8,8,1,1,5,1,4,5,1,"","","","","","","","","","","30to49",1,1,NA,1,NA,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","atleast1wk",5,NA,4,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,5,NA,"male","college","morethan20","V3K","yes","no","dontknow",5,"2","55to64","These surveys help us to appreciate our environment, which we usually take for granted. This was a thought provoking survey. Thank you.",0,0,0
"39","BC","410321599",NA,"English53",53,"y","hco_thankyou.php",NA,"05/03/2014","17:43:12","17:51:36","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:27.0) Gecko/20100101 Firefox/27.0",NA,"English",2038,54321,2,2,10,8,8,9,7,7,9,5,2,10,6,2,6,1,3,10,9,3,9,10,7,10,4,2,4,3,3,10,"","","","","","","","","","","30to49",1,NA,1,1,1,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,"","3month",4,NA,3,NA,3,NA,5,NA,4,NA,4,NA,4,NA,4,NA,5,NA,5,NA,"female","college","morethan20","v6p","no","yes","dontknow",1,"1","20to24","",0,0,1
